session,filename,song_id,variant,mode,c1,c2,hue,brightness,warmth,timestamp
c8682c34-0278-4508-9618-93374b48be5f,wallpaper_1.jpg,,1,linear,#6c796d,#bfd5a4,88,0.84,neutral,2025-05-22T11:22:29.727665
c8682c34-0278-4508-9618-93374b48be5f,wallpaper_2.jpg,,2,linear,#6c796d,#bfd5a4,88,0.84,neutral,2025-05-22T11:22:29.791635
c8682c34-0278-4508-9618-93374b48be5f,wallpaper_3.jpg,,3,diagonal,#bfd5a4,#74af94,88,0.84,neutral,2025-05-22T11:22:29.854421
0aefbe8f-4f18-4b11-bd19-0688900cec68,wallpaper_1.jpg,,1,angular,#427aab,#859bb7,213,0.72,cool,2025-05-22T11:22:33.829419
0aefbe8f-4f18-4b11-bd19-0688900cec68,wallpaper_2.jpg,,2,diagonal,#427aab,#eadad4,213,0.72,cool,2025-05-22T11:22:33.889519
0aefbe8f-4f18-4b11-bd19-0688900cec68,wallpaper_3.jpg,,3,dual-radial,#427aab,#57510c,213,0.72,cool,2025-05-22T11:22:34.183042
4a4b2899-531d-4d9f-9cfe-e610147c7fda,wallpaper_1.jpg,,1,angular,#427aab,#272707,213,0.72,cool,2025-05-22T11:24:37.033735
4a4b2899-531d-4d9f-9cfe-e610147c7fda,wallpaper_2.jpg,,2,dual-radial,#eadad4,#57510c,213,0.72,cool,2025-05-22T11:24:37.320618
4a4b2899-531d-4d9f-9cfe-e610147c7fda,wallpaper_3.jpg,,3,dual-radial,#272707,#57510c,213,0.72,cool,2025-05-22T11:24:37.597984
74022632-8a28-4508-8dea-3b2296e97ee0,wallpaper_1.jpg,,1,radial,#eadad4,#57510c,213,0.72,cool,2025-05-22T11:24:51.088594
74022632-8a28-4508-8dea-3b2296e97ee0,wallpaper_2.jpg,,2,radial,#859bb7,#272707,213,0.72,cool,2025-05-22T11:24:51.159966
74022632-8a28-4508-8dea-3b2296e97ee0,wallpaper_3.jpg,,3,dual-radial,#eadad4,#d0bbbc,213,0.72,cool,2025-05-22T11:24:51.437965
62a016c9-7973-4674-bb79-baa6b5a218fb,wallpaper_1.jpg,,1,angular,#57510c,#eadad4,213,0.72,cool,2025-05-22T11:25:05.767747
62a016c9-7973-4674-bb79-baa6b5a218fb,wallpaper_2.jpg,,2,dual-radial,#272707,#859bb7,213,0.72,cool,2025-05-22T11:25:06.059382
62a016c9-7973-4674-bb79-baa6b5a218fb,wallpaper_3.jpg,,3,diagonal,#427aab,#272707,213,0.72,cool,2025-05-22T11:25:06.116461
9df39e16-7c8d-48e1-b109-047742971f86,wallpaper_1.jpg,,1,diagonal,#272707,#57510c,213,0.72,cool,2025-05-22T11:30:33.410402
9df39e16-7c8d-48e1-b109-047742971f86,wallpaper_2.jpg,,2,linear,#272707,#57510c,213,0.72,cool,2025-05-22T11:30:33.483666
9df39e16-7c8d-48e1-b109-047742971f86,wallpaper_3.jpg,,3,angular,#57510c,#427aab,213,0.72,cool,2025-05-22T11:30:33.769660
b97ccd3c-01d4-4d62-9a0d-ca9079a4341f,wallpaper_1.jpg,,1,angular,#eadad4,#57510c,213,0.72,cool,2025-05-22T11:30:42.859946
b97ccd3c-01d4-4d62-9a0d-ca9079a4341f,wallpaper_2.jpg,,2,diagonal,#859bb7,#d0bbbc,213,0.72,cool,2025-05-22T11:30:42.946750
b97ccd3c-01d4-4d62-9a0d-ca9079a4341f,wallpaper_3.jpg,,3,diagonal,#eadad4,#859bb7,213,0.72,cool,2025-05-22T11:30:43.016324
4772e854-7388-404c-8e8b-1aa388ad12c3,4772e854-7388-404c-8e8b-1aa388ad12c3_wallpaper_1.jpg,,1,diagonal,#6d8e8c,#a58c85,90,0.11,neutral,2025-05-22T12:19:48.014017
4772e854-7388-404c-8e8b-1aa388ad12c3,4772e854-7388-404c-8e8b-1aa388ad12c3_wallpaper_2.jpg,,2,angular,#161b13,#a58c85,90,0.11,neutral,2025-05-22T12:19:48.281554
4772e854-7388-404c-8e8b-1aa388ad12c3,4772e854-7388-404c-8e8b-1aa388ad12c3_wallpaper_3.jpg,,3,diagonal,#6d8e8c,#749163,90,0.11,neutral,2025-05-22T12:19:48.329204
fa64ac6f-6b3c-4e08-bf9f-5e5e90a8ca2e,fa64ac6f-6b3c-4e08-bf9f-5e5e90a8ca2e_wallpaper_1.jpg,,1,dual-radial,#1c2030,#6c796d,88,0.84,neutral,2025-05-22T14:10:58.343887
fa64ac6f-6b3c-4e08-bf9f-5e5e90a8ca2e,fa64ac6f-6b3c-4e08-bf9f-5e5e90a8ca2e_wallpaper_2.jpg,,2,radial,#426ba3,#bfd5a4,88,0.84,neutral,2025-05-22T14:10:58.408121
fa64ac6f-6b3c-4e08-bf9f-5e5e90a8ca2e,fa64ac6f-6b3c-4e08-bf9f-5e5e90a8ca2e_wallpaper_3.jpg,,3,linear,#426ba3,#9c8494,88,0.84,neutral,2025-05-22T14:10:58.555049
bd5a74b6-bceb-4ad8-af23-dc03436f6336,bd5a74b6-bceb-4ad8-af23-dc03436f6336_wallpaper_1.jpg,,1,dual-radial,#150c0c,#8a494a,359,0.86,warm,2025-05-22T14:11:43.798612
bd5a74b6-bceb-4ad8-af23-dc03436f6336,bd5a74b6-bceb-4ad8-af23-dc03436f6336_wallpaper_2.jpg,,2,shape-blur,#150c0c,#f8a8a7,359,0.86,warm,2025-05-22T14:11:46.647954
bd5a74b6-bceb-4ad8-af23-dc03436f6336,bd5a74b6-bceb-4ad8-af23-dc03436f6336_wallpaper_3.jpg,,3,radial,#742c29,#8a494a,359,0.86,warm,2025-05-22T14:11:46.707946
cc020161-5966-4963-b172-d9a66cb66b43,cc020161-5966-4963-b172-d9a66cb66b43_wallpaper_1.jpg,,1,linear,#8a494a,#742c29,359,0.86,warm,2025-05-22T14:12:25.642951
cc020161-5966-4963-b172-d9a66cb66b43,cc020161-5966-4963-b172-d9a66cb66b43_wallpaper_2.jpg,,2,linear,#e77272,#8a494a,359,0.86,warm,2025-05-22T14:12:25.719968
cc020161-5966-4963-b172-d9a66cb66b43,cc020161-5966-4963-b172-d9a66cb66b43_wallpaper_3.jpg,,3,radial,#742c29,#e77272,359,0.86,warm,2025-05-22T14:12:25.789186
ab0dea59-ee05-4c2d-bae1-ace7f9579987,ab0dea59-ee05-4c2d-bae1-ace7f9579987_wallpaper_1.jpg,,1,shape-blur,#742c29,#150c0c,359,0.86,warm,2025-05-22T14:12:58.984822
ab0dea59-ee05-4c2d-bae1-ace7f9579987,ab0dea59-ee05-4c2d-bae1-ace7f9579987_wallpaper_2.jpg,,2,diagonal,#742c29,#f8a8a7,359,0.86,warm,2025-05-22T14:12:59.046589
ab0dea59-ee05-4c2d-bae1-ace7f9579987,ab0dea59-ee05-4c2d-bae1-ace7f9579987_wallpaper_3.jpg,,3,linear,#150c0c,#f8a8a7,359,0.86,warm,2025-05-22T14:12:59.107445
